iter	Passed	Remaining
747	1107	373
748	1108	371
749	1109	369
750	1111	368
751	1113	367
752	1114	365
753	1115	363
754	1116	362
755	1117	360
756	1118	359
757	1119	357
758	1120	355
759	1122	354
760	1122	352
761	1124	351
762	1125	349
763	1126	348
764	1127	346
765	1128	344
766	1130	343
767	1131	341
768	1132	340
769	1133	338
770	1134	336
771	1135	335
772	1136	333
773	1137	332
774	1138	330
775	1140	329
776	1141	327
777	1143	326
778	1144	324
779	1145	323
780	1146	321
781	1147	320
782	1149	318
783	1150	316
784	1151	315
785	1152	313
786	1153	312
787	1155	310
788	1157	309
789	1158	307
790	1159	306
791	1161	304
792	1162	303
793	1163	301
794	1164	300
795	1165	298
796	1166	297
797	1167	295
798	1169	294
799	1170	292
800	1172	291
801	1173	289
802	1174	288
803	1175	286
804	1176	285
805	1178	283
806	1179	282
807	1180	280
808	1181	278
809	1182	277
810	1183	275
811	1184	274
812	1186	272
813	1187	271
814	1189	269
815	1190	268
816	1191	266
817	1193	265
818	1194	263
819	1195	262
820	1196	260
821	1197	259
822	1199	257
823	1200	256
824	1202	254
825	1203	253
826	1204	251
827	1205	250
828	1206	248
829	1208	247
830	1209	245
831	1210	244
832	1211	242
833	1212	241
834	1214	239
835	1215	238
836	1217	237
837	1218	235
838	1219	234
839	1221	232
840	1222	231
841	1223	229
842	1224	228
843	1225	226
844	1226	225
845	1228	223
846	1229	222
847	1231	220
848	1232	219
849	1233	217
850	1235	216
851	1236	214
852	1237	213
853	1238	211
854	1240	210
855	1241	208
856	1242	207
857	1243	205
858	1244	204
859	1245	202
860	1247	201
861	1248	199
862	1249	198
863	1250	196
864	1251	195
865	1252	193
866	1253	192
867	1255	190
868	1256	189
869	1257	187
870	1258	186
871	1259	184
872	1260	183
873	1261	181
874	1262	180
875	1264	178
876	1265	177
877	1266	175
878	1267	174
879	1268	172
880	1269	171
881	1270	169
882	1271	168
883	1272	167
884	1273	165
885	1275	164
886	1276	162
887	1278	161
888	1279	159
889	1280	158
890	1282	156
891	1283	155
892	1284	153
893	1285	152
894	1286	150
895	1287	149
896	1288	147
897	1290	146
898	1291	145
899	1292	143
900	1293	142
901	1295	140
902	1296	139
903	1297	137
904	1298	136
905	1299	134
906	1300	133
907	1301	131
908	1302	130
909	1304	128
910	1305	127
911	1307	126
912	1308	124
913	1309	123
914	1310	121
915	1311	120
916	1313	118
917	1314	117
918	1315	115
919	1316	114
920	1317	112
921	1318	111
922	1319	110
923	1321	108
924	1322	107
925	1323	105
926	1325	104
927	1326	102
928	1327	101
929	1328	100
930	1329	98
931	1331	97
932	1332	95
933	1333	94
934	1335	92
935	1336	91
936	1338	89
937	1339	88
938	1340	87
939	1341	85
940	1343	84
941	1344	82
942	1345	81
943	1346	79
944	1347	78
945	1348	76
946	1350	75
947	1352	74
948	1353	72
949	1354	71
950	1355	69
951	1356	68
952	1357	66
953	1358	65
954	1359	64
955	1360	62
956	1361	61
957	1362	59
958	1363	58
959	1364	56
960	1366	55
961	1367	54
962	1368	52
963	1369	51
964	1370	49
965	1371	48
966	1372	46
967	1373	45
968	1374	43
969	1375	42
970	1376	41
971	1377	39
972	1378	38
973	1380	36
974	1381	35
975	1383	34
976	1384	32
977	1385	31
978	1386	29
979	1388	28
980	1389	26
981	1390	25
982	1391	24
983	1392	22
984	1393	21
985	1394	19
986	1396	18
987	1397	16
988	1398	15
989	1399	14
990	1400	12
991	1401	11
992	1402	9
993	1403	8
994	1405	7
995	1406	5
996	1407	4
997	1408	2
998	1409	1
999	1410	0
